Name,Phone,Address,Location
Dharanidara Spinning Mills ..,No Number!,"No 104, Sri Ranga Towers, Peramanur Main Road, Hastampatti, Salem - 636007",
S P Super Fine Cotton Pvt L..,91427254444,"Cuddalore Main Road, Salem HO, Salem - 636001",
K T Spinning Mills Ltd,914272484238,"No 42, Vaiyapuri Street, Ammapettai Bazaar, Salem - 636003",
Kandagiri Spinning Mills Lt..,9104272244400,"Post Box No 3, Udayapatti, Salem - 636140, Near Vaishiya College",
Victory Spinning Mills Pvt ..,917708837999,"Sowdapuram, Salem - 637304",
Sambandam Spinning Mills Lt..,914272240790,"Post Box No 1, Kamaraj Nagar Colony, Salem - 636014, Near Ammapettai Colony",
S P Spinning Mills Pvt Ltd,914272299999,"No 1/104, Cuddalore Main Road, Karipatti, Salem - 636106, Karipatti Village",
Pmc Textiles,9104272296950,"No 381, Veeranam Main Road, Ammapettai, Salem - 636003, Near Vaikkalpattarai,Kanara Bank Opp Road",
Rasi Textile Pvt Ltd,91427235084,"No 273/A, Kamarajanar Road, Atur Bazaar, Salem - 636102, Near Sarvai Pudhhur",
Uma Spinning Mills Pvt Ltd,919585512377,"Kms Garden, New Fairlands, Alagapurampudur, Salem - 636016",
Dharanidara Spinning Mills ..,No Number!,"No 104, Sri Ranga Towers, Peramanur Main Road, Hastampatti, Salem - 636007",
S P Super Fine Cotton Pvt L..,91427254444,"Cuddalore Main Road, Salem HO, Salem - 636001",
K T Spinning Mills Ltd,914272484238,"No 42, Vaiyapuri Street, Ammapettai Bazaar, Salem - 636003",
Kandagiri Spinning Mills Lt..,9104272244400,"Post Box No 3, Udayapatti, Salem - 636140, Near Vaishiya College",
Victory Spinning Mills Pvt ..,917708837999,"Sowdapuram, Salem - 637304",
Sambandam Spinning Mills Lt..,914272240790,"Post Box No 1, Kamaraj Nagar Colony, Salem - 636014, Near Ammapettai Colony",
S P Spinning Mills Pvt Ltd,914272299999,"No 1/104, Cuddalore Main Road, Karipatti, Salem - 636106, Karipatti Village",
Pmc Textiles,9104272296950,"No 381, Veeranam Main Road, Ammapettai, Salem - 636003, Near Vaikkalpattarai,Kanara Bank Opp Road",
Rasi Textile Pvt Ltd,91427235084,"No 273/A, Kamarajanar Road, Atur Bazaar, Salem - 636102, Near Sarvai Pudhhur",
Uma Spinning Mills Pvt Ltd,919585512377,"Kms Garden, New Fairlands, Alagapurampudur, Salem - 636016",
Dharanidara Spinning Mills ..,No Number!,"No 104, Sri Ranga Towers, Peramanur Main Road, Hastampatti, Salem - 636007",
S P Super Fine Cotton Pvt L..,91427254444,"Cuddalore Main Road, Salem HO, Salem - 636001",
K T Spinning Mills Ltd,914272484238,"No 42, Vaiyapuri Street, Ammapettai Bazaar, Salem - 636003",
Kandagiri Spinning Mills Lt..,9104272244400,"Post Box No 3, Udayapatti, Salem - 636140, Near Vaishiya College",
Victory Spinning Mills Pvt ..,917708837999,"Sowdapuram, Salem - 637304",
Sambandam Spinning Mills Lt..,914272240790,"Post Box No 1, Kamaraj Nagar Colony, Salem - 636014, Near Ammapettai Colony",
S P Spinning Mills Pvt Ltd,914272299999,"No 1/104, Cuddalore Main Road, Karipatti, Salem - 636106, Karipatti Village",
Pmc Textiles,9104272296950,"No 381, Veeranam Main Road, Ammapettai, Salem - 636003, Near Vaikkalpattarai,Kanara Bank Opp Road",
Rasi Textile Pvt Ltd,91427235084,"No 273/A, Kamarajanar Road, Atur Bazaar, Salem - 636102, Near Sarvai Pudhhur",
Uma Spinning Mills Pvt Ltd,919585512377,"Kms Garden, New Fairlands, Alagapurampudur, Salem - 636016",
Dharanidara Spinning Mills ..,No Number!,"No 104, Sri Ranga Towers, Peramanur Main Road, Hastampatti, Salem - 636007",
S P Super Fine Cotton Pvt L..,91427254444,"Cuddalore Main Road, Salem HO, Salem - 636001",
K T Spinning Mills Ltd,914272484238,"No 42, Vaiyapuri Street, Ammapettai Bazaar, Salem - 636003",
